DATE;LOC
2018-02; 0
2018-03; 108
2018-04; 27001
2018-05; 35817
2018-06; 36595
2018-07; 38300
2018-08; 39794
2018-09; 40724
2018-10; 43299
2018-11; 54554
2018-12; 55214
2019-01; 56044
2019-02; 58881
2019-03; 61422
2019-04; 62823
2019-05; 67305
2019-06; 69211
2019-07; 74051
2019-08; 77621
2019-09; 77581
2019-10; 81305
2019-11; 83880
2019-12; 86222
2020-01; 86781
2020-02; 93321
2020-03; 95208
2020-04; 93835
2020-05; 95753
2020-06; 97377
2020-07; 102881
2020-08; 104861
2020-09; 105319
2020-10; 107876
2020-11; 111625
2020-12; 115695
2021-01; 119638
2021-02; 126102
2021-03; 126886
2021-04; 129850
2021-05; 132754
2021-06; 135539
2021-07; 138690
2021-08; 141960
2021-09; 142852
2021-10; 147350
2021-11; 150190
2021-12; 153145
2022-01; 155316
2022-02; 158731
2022-03; 159789
2022-04; 163874
2022-05; 170008
2022-06; 172248
2022-07; 175641
2022-08; 180526
2022-09; 181380
2022-10; 183661
2022-11; 188412
2022-12; 191064
2023-01; 196524
2023-02; 186960
2023-03; 189220
2023-04; 190969
